第6976章扭转劣势，难度很大: https://www.xbiquge.bz/book/30892/40729834.html
第6975章积极防御才是最为重要的手段: https://www.xbiquge.bz/book/30892/40721094.html
第6974章晋军，不是罗马人能够比拟的: https://www.xbiquge.bz/book/30892/40720804.html
第6973章面对晋军的压力: https://www.xbiquge.bz/book/30892/40720505.html
第6972章晋军进攻，乃是必然: https://www.xbiquge.bz/book/30892/40720220.html
第6971章晋军，从不惧对手: https://www.xbiquge.bz/book/30892/40719845.html
第6970章怒吼声中，气势攀升: https://www.xbiquge.bz/book/30892/40719407.html
第6969章军容雄壮: https://www.xbiquge.bz/book/30892/40718943.html
第6968章大战来临的气氛: https://www.xbiquge.bz/book/30892/40717583.html
第6967章安东关，火炮三门，守军万人: https://www.xbiquge.bz/book/30892/40716452.html
第6966章晋军行动，寄予厚望: https://www.xbiquge.bz/book/30892/40716102.html
第6965章安东关不容有失: https://www.xbiquge.bz/book/30892/40715762.html
第284章 花烛夜（求订阅）: https://www.xbiquge.bz/book/30892/19014230.html
第285章 郁闷的扬州使者: https://www.xbiquge.bz/book/30892/19014231.html
第286章 打入牢中（求订阅）: https://www.xbiquge.bz/book/30892/19014232.html
第287章 色厉内荏: https://www.xbiquge.bz/book/30892/19014233.html
第288章 孙乾求马（求订阅）: https://www.xbiquge.bz/book/30892/19014234.html
第289章 出游: https://www.xbiquge.bz/book/30892/19014235.html
第290章 浓浓的爱意: https://www.xbiquge.bz/book/30892/19014236.html
第291章 死的窝囊（求订阅）: https://www.xbiquge.bz/book/30892/19014237.html
第292章 顾雍入并州（求订阅）: https://www.xbiquge.bz/book/30892/19014238.html
第293章 杨奉攻河内: https://www.xbiquge.bz/book/30892/19014239.html
第294章 徐晃的消息（求订阅）: https://www.xbiquge.bz/book/30892/19014240.html
第295章 贾诩之计: https://www.xbiquge.bz/book/30892/19014241.html
第296章 刺杀（求订阅）: https://www.xbiquge.bz/book/30892/19014242.html
第297章 贾诩劝徐晃: https://www.xbiquge.bz/book/30892/19014243.html
第298章 杨奉举荐徐公明（求订阅）: https://www.xbiquge.bz/book/30892/19014244.html
第299章 徐晃归附: https://www.xbiquge.bz/book/30892/19014245.html
第300章 探查宝藏（求订阅）: https://www.xbiquge.bz/book/30892/19014246.html
第301章 山贼带路: https://www.xbiquge.bz/book/30892/19014247.html
