番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/23758/40728029.html
番外篇，下: https://www.xbiquge.bz/book/23758/40153821.html
番外篇，中: https://www.xbiquge.bz/book/23758/40153820.html
番外篇，上: https://www.xbiquge.bz/book/23758/40149433.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/23758/40141153.html
完结感言: https://www.xbiquge.bz/book/23758/39981316.html
第318章 风起云涌: https://www.xbiquge.bz/book/23758/15030949.html
第319章 刺杀，空前危机: https://www.xbiquge.bz/book/23758/15030950.html
第320章 至尊神殿: https://www.xbiquge.bz/book/23758/15030951.html
第321章 墨莹，疗伤: https://www.xbiquge.bz/book/23758/15030952.html
第322章 恢复巅峰: https://www.xbiquge.bz/book/23758/15030953.html
第323章 剥离阳性真气: https://www.xbiquge.bz/book/23758/15030954.html
第324章 小王爷: https://www.xbiquge.bz/book/23758/15030955.html
第325章 我实力比你强: https://www.xbiquge.bz/book/23758/15030956.html
第326章 墨家先祖传承: https://www.xbiquge.bz/book/23758/15030957.html
第327章 血水潭下的人: https://www.xbiquge.bz/book/23758/15030958.html
第328章 都是阴谋: https://www.xbiquge.bz/book/23758/15030959.html
第329章 吞噬蛟龙魂: https://www.xbiquge.bz/book/23758/15030960.html
第330章 脱困，大战: https://www.xbiquge.bz/book/23758/15081716.html
第331章 血脉再次进化: https://www.xbiquge.bz/book/23758/15081717.html
第332章 恐怖的吞噬之力: https://www.xbiquge.bz/book/23758/15081718.html
第333章 墨家，灭: https://www.xbiquge.bz/book/23758/15081719.html
第334章 回归，出大事了（今天加更）: https://www.xbiquge.bz/book/23758/15108294.html
第335章 一波未平，一波又起（第一更）: https://www.xbiquge.bz/book/23758/15185222.html
第336章 一巴掌拍死（第二更）: https://www.xbiquge.bz/book/23758/15187672.html
第337章 玉潼关（第三更）: https://www.xbiquge.bz/book/23758/15187673.html
第338章 华池的消息（第四更）: https://www.xbiquge.bz/book/23758/15187674.html
第339章 杀无赦: https://www.xbiquge.bz/book/23758/15187675.html
第340章 端木家族的秘密: https://www.xbiquge.bz/book/23758/15187676.html
第341章 玄元剑派大战: https://www.xbiquge.bz/book/23758/15187677.html
第342章 高手连出: https://www.xbiquge.bz/book/23758/15187678.html
第343章 冠军侯到: https://www.xbiquge.bz/book/23758/15187679.html
第344章 陆鸣回来了: https://www.xbiquge.bz/book/23758/15187680.html
第345章 击杀端木麟: https://www.xbiquge.bz/book/23758/15187681.html
第346章 逆转战局: https://www.xbiquge.bz/book/23758/15187682.html
第347章 再面陆瑶: https://www.xbiquge.bz/book/23758/15187683.html
第348章 今非昔比: https://www.xbiquge.bz/book/23758/15187684.html
第349章 举国之战: https://www.xbiquge.bz/book/23758/15187685.html
第350章 秋长空的秘密: https://www.xbiquge.bz/book/23758/15187686.html
第351章 陆鸣没有: https://www.xbiquge.bz/book/23758/15187687.html
第352章 年轻的半步王者: https://www.xbiquge.bz/book/23758/15187688.html
第353章 陆鸣的邀请函（第19更）: https://www.xbiquge.bz/book/23758/15187689.html
第354章 穆兰的身世（第20更）: https://www.xbiquge.bz/book/23758/15187690.html
第355章 蓝刀世家: https://www.xbiquge.bz/book/23758/15213261.html
